,name,ins_id,ticker,isin,instrument_type,market,country,sector,branch
1005,IRLAB Therapeutics,1410,IRLAB A,SE0012675361,Aktie,Small Cap,Sverige,Hälsovård,Läkemedel
1006,Aerowash,1411,AERW B,SE0009346299,Aktie,Spotlight,Sverige,Industri,Stödtjänster & Service
1007,Initiator Pharma,1412,INIT,DK0060775872,Aktie,First North,Sverige,Hälsovård,Biotech
1008,Chordate Medical,1414,CMH,SE0009495559,Aktie,First North,Sverige,Hälsovård,Medicinsk Utrustning
1009,Samtrygg,1415,SAMT B,SE0009267834,Aktie,NGM,Sverige,Sällanköpsvaror,Konsumentservice
1010,SARSYS,1416,SARS,SE0009320294,Aktie,NGM,Sverige,Industri,Mätning & Analys
1011,Medclair Invest,1417,MCLR,SE0009190572,Aktie,NGM,Sverige,Sällanköpsvaror,Fritid & Sport
1012,Ambea,1419,AMBEA,SE0009663826,Aktie,Mid Cap,Sverige,Hälsovård,Sjukhus & Vårdhem
1013,Mips,1421,MIPS,SE0009216278,Aktie,Large Cap,Sverige,Sällanköpsvaror,Fritid & Sport
1014,ChromoGenics,1422,CHRO,SE0020847481,Aktie,First North,Sverige,Industri,Byggmaterial
1015,Xavi Solutionnode,1423,XAVI B,SE0003088541,Aktie,NGM,Sverige,Informationsteknik,Affärs- & IT-System
1016,Prolight Diagnostics,1424,PRLD,SE0003618230,Aktie,NGM,Sverige,Hälsovård,Biotech
1017,FM Mattsson,1425,FMM B,SE0018040883,Aktie,Mid Cap,Sverige,Industri,Installation & VVS
1018,Actic Group,1426,ATIC,SE0009269467,Aktie,Small Cap,Sverige,Sällanköpsvaror,Resor & Nöjen
1019,Biovica,1429,BIOVIC B,SE0008613731,Aktie,First North,Sverige,Hälsovård,Biotech
1020,Unibap,1431,UNIBAP,SE0009606809,Aktie,First North,Sverige,Informationsteknik,Affärs- & IT-System
1021,EatGood,1432,EATG,SE0009548597,Aktie,Spotlight,Sverige,Industri,Industrimaskiner
1022,Sonetel,1433,SONE,SE0009580517,Aktie,First North,Sverige,Informationsteknik,Kommunikation
1023,Isofol Medical,1434,ISOFOL,SE0009581051,Aktie,Small Cap,Sverige,Hälsovård,Läkemedel
1024,Tangiamo Touch,1435,TANGI,SE0009664303,Aktie,First North,Sverige,Informationsteknik,Datorer & Hårdvara
1025,Intervacc,1436,IVACC,SE0009607252,Aktie,First North,Sverige,Hälsovård,Biotech
1026,Instalco,1437,INSTAL,SE0017483506,Aktie,Large Cap,Sverige,Industri,Installation & VVS
1027,Sdiptech,1438,SDIP B,SE0003756758,Aktie,Mid Cap,Sverige,Industri,Installation & VVS
1028,Munters,1439,MTRS,SE0009806607,Aktie,Large Cap,Sverige,Industri,Installation & VVS
